fund_long_name,initial_investment,fund_category,management_name
iShares Edge MSCI Min Vol EAFE Index Fund Institutional Shares,10000000,Short-Term Bond,Jennifer M. Hsui
Conestoga Small Cap Fund Investors Class,10000000,Large Value,Robert M. Mitchell
Adaptive Fundamental Growth Fund C Class,10000000,Intermediate Core Bond,Scott Wetherington
Columbia Flexible Capital Income Fund Institutional 2 Class,10000000,Foreign Large Blend,Grace Lee
Calvert Income Fund Class I,10000000,Diversified Emerging Mkts,Vishal S. Khanduja
Calvert Core Bond Fund Class A,10000000,,Vishal S. Khanduja
Columbia Strategic New York Municipal Income Fund Class C,10000000,Large Blend,Douglas M. White
Columbia Disciplined Value Fund Institutional 2 Class,10000000,Large Growth,Raghavendran Sivaraman
Columbia U.S. Social Bond Fund Class A,10000000,Large Value,Kimberly Campbell
Columbia Convertible Securities Fund Advisor Class,10000000,Small Blend,David L. King
Columbia Capital Allocation Conservative Portfolio Institutional 2 Class,10000000,Large Blend,Anwiti Bahuguna
Columbia Mid Cap Growth Fund Advisor Class,10000000,Target-Date 2015,Daniel H. Cole
Calamos Phineus Long/Short Fund Class A,10000000,Target-Date 2030,Michael Grant
American Funds Preservation Portfolio Class 529-F-1,10000000,Target-Date 2050,Michelle J. Black
AAM/Insight Select Income Fund Class Y,10000000,Target-Date 2025,James DiChiaro
CCM Community Impact Bond Fund CRA Shares,10000000,Target-Date 2000-2010,Elliot Gilfarb
MainStay CBRE Real Estate Fund Class C,10000000,Target-Date 2020,T. Ferguson
Six Circles Credit Opportunities,10000000,Target-Date 2045,Tatjana H. Greil-Castro
"Cohen & Steers Real Estate Securities Fund, Inc. Class F",10000000,Target-Date 2035,Jason Yablon
CRM All Cap Value Fund Class Institutional,10000000,Target-Date 2040,Robert Maina
AB Taxable Multi-Sector Income Shares,10000000,Short-Term Bond,Scott A. DiMaggio
Columbia Convertible Securities Fund Class R,10000000,Allocation--30% to 50% Equity,David L. King
Delaware Strategic Allocation Class R,10000000,Target-Date 2055,JÃ¼rgen Wurzer
DoubleLine Flexible Income Fund Class I,10000000,Target-Date 2060+,Jeffrey J. Sherman
DoubleLine Multi-Asset Trend Fund Class N,10000000,Ultrashort Bond,Jeffrey J. Sherman
Wells Fargo Asset Allocation Fund - Class A,10000000,Intermediate Core Bond,Christian L. Chan
Eaton Vance Core Bond Fund Class A,10000000,Short-Term Bond,Vishal S. Khanduja
American Century One Choice Blend+ 2015 Portfolio I Class,5000000,Target-Date 2015,Scott A. Wilson
American Century Strategic Allocation: Aggressive Fund I Class,5000000,Allocation--70% to 85% Equity,Scott A. Wilson
American Century One Choice Blend+ 2020 Portfolio I Class,5000000,Target-Date 2020,Scott A. Wilson
American Century One Choice Blend+ 2035 Portfolio I Class,5000000,Target-Date 2035,Scott A. Wilson
American Century One Choice Blend+ 2040 Portfolio I Class,5000000,Target-Date 2040,Scott A. Wilson
American Century One Choice Blend+ 2060 Portfolio I Class,5000000,Target-Date 2060+,Scott A. Wilson
American Century One Choice Blend+ 2030 Portfolio I Class,5000000,Target-Date 2030,Scott A. Wilson
