fund_long_name,initial_investment,fund_category,management_name
American Century Government Bond Fund I Class,5000000,Intermediate Government,Peter Van Gelderen
American Century Balanced Fund I Class,5000000,Allocation--50% to 70% Equity,Brian Howell
AMG River Road Mid Cap Value Fund - Class Z,5000000,Mid-Cap Value,R. Andrew W. Beck
AB Bond Inflation Strategy Class 2,5000000,Inflation-Protected Bond,Janaki Rao
American Century Diversified Bond Fund I Class,5000000,Intermediate Core Bond,Jeffrey Houston
American Century Strategic Allocation: Conservative Fund I Class,5000000,Allocation--30% to 50% Equity,Scott A. Wilson
American Century Core Plus Fund I Class,5000000,Intermediate Core-Plus Bond,Robert Gahagan
American Century Investments Focused Dynamic Growth Fund I Class,5000000,Large Growth,Michael Li
American Century Equity Income Fund I Class,5000000,Large Value,Phillip Davidson
American Century International Opportunities Fund I Class,5000000,Foreign Small/Mid Growth,Trevor D. Gurwich
American Century Small Cap Value Fund I Class,5000000,Small Value,Jeff John
AC Alternatives Market Neutral Value Fund I Class,5000000,Equity Market Neutral,Kevin M. Toney
American Century International Value Fund I Class,5000000,Foreign Large Value,Yulin Long
AQR Diversified Arbitrage Fund Class I,5000000,Relative Value Arbitrage,Ronen N. Israel
American Century Disciplined Growth Fund Institutional Class,5000000,Large Growth,Tsuyoshi Ozaki
AMG Beutel Goodman Core Plus Bond Fund - Class Z,5000000,Intermediate Core-Plus Bond,David J. Gregoris
American Century Emerging Markets Small Cap Fund I Class,5000000,Diversified Emerging Mkts,Patricia Ribeiro
American Century Emerging Markets Debt Fund I Class,5000000,Emerging Markets Bond,Alessandra Alecci
American Century Focused International Growth Fund I Class,5000000,Foreign Large Growth,Jim Zhao
American Century Sustainable Equity Fund I Class,5000000,Large Blend,Joseph M. Reiland
American Century Global Bond Fund I Class,5000000,World Bond-USD Hedged,John A. Lovito
American Century Global Small Cap Fund I Class,5000000,World Small/Mid Stock,Trevor D. Gurwich
American Century Focused Global Growth Fund I Class,5000000,,Ted Harlan
American Century Global Gold Fund I Class,5000000,Equity Precious Metals,Guan Wang
American Century Ginnie Mae Fund I Class,5000000,Intermediate Government,Robert Gahagan
American Century High Income Fund I Class,5000000,High Yield Bond,Stephen Owen Kotsen
American Century High-Yield Fund I Class,5000000,High Yield Bond,Jeffrey Houston
American Century Inflation Adjusted Bond Fund I Class,5000000,Inflation-Protected Bond,Robert Gahagan
American Century International Bond Fund I Class,5000000,World Bond,Simon Chester
AQR International Momentum Style Fund Class I,5000000,Foreign Large Growth,Ronen N. Israel
American Century Investments Focused Large Cap Value Fund I Class,5000000,Large Value,Kevin N. Toney
American Century Equity Growth Fund I Class,5000000,Large Blend,Steven Rossi
American Century Disciplined Core Value Fund I Class,5000000,Large Value,Steven Rossi
American Century Emerging Markets Fund I Class,5000000,Diversified Emerging Mkts,Patricia Ribeiro
AQR Large Cap Momentum Style Fund Class I,5000000,Large Growth,Ronen N. Israel
AB All Market Real Return Portfolio Class 2,5000000,World Allocation,Daniel J. Loewy
AQR International Defensive Style Fund Class I,5000000,Foreign Large Blend,Andrea Frazzini
American Century Small Cap Growth Fund I Class,5000000,Small Growth,Jackie Wagner
American Century Non-U.S. IntrinsicValue Fund I Class,5000000,Foreign Large Value,Alvin L. Polit
American Century Investments One Choice 2045 Portfolio I Class,5000000,Target-Date 2045,Radu Gabudean
AMG Beutel Goodman International Equity Fund - Class Z,5000000,Foreign Large Blend,Stanley Wu
American Century Short Duration Inflation Protection Bond Fund I Class,5000000,Inflation-Protected Bond,Robert Gahagan
AQR Global Equity Fund Class I,5000000,World Large-Stock Blend,Lars S. Nielsen
AQR International Equity Fund Class I,5000000,Foreign Large Blend,Lars S. Nielsen
AQR Managed Futures Strategy Fund Class I,5000000,Systematic Trend,John M. Liew
AQR Multi-Asset Fund Class I,5000000,Tactical Allocation,John M. Liew
AQR Risk-Balanced Commodities Strategy Fund Class I,5000000,Commodities Broad Basket,Ari Levine
American Century Investments One Choice 2030 Portfolio I Class,5000000,Target-Date 2030,Radu Gabudean
American Century Investments One Choice 2040 Portfolio I Class,5000000,Target-Date 2040,Radu Gabudean
American Century Investments One Choice 2055 Portfolio I Class,5000000,Target-Date 2055,Radu Gabudean
American Century Investments One Choice 2050 Portfolio I Class,5000000,Target-Date 2050,Radu Gabudean
American Century Investments One Choice 2060 Portfolio I Class,5000000,Target-Date 2060+,John Donner
American Century Investments One Choice 2065 Portfolio I Class,5000000,,John Donner
American Century Investments One Choice 2035 Portfolio I Class,5000000,Target-Date 2035,Radu Gabudean
AMG River Road International Value Equity Fund Class Z,5000000,Long-Short Equity,Matthew W. Moran
AMG River Road Focused Absolute Value Fund Class Z,5000000,Mid-Cap Blend,R. Andrew S. Beck
AMG River Road Small-Mid Cap Value Fund Class Z,5000000,Small Blend,J. Justin Akin
American Century Investments One Choice 2025 Portfolio I Class,5000000,Target-Date 2025,Radu Gabudean
American Century Global Real Estate Fund I Class,5000000,Global Real Estate,Steven R. Rodriguez
American Century Strategic Allocation: Moderate Fund I Class,5000000,Allocation--50% to 70% Equity,Scott A. Wilson
American Century Small Company Fund I Class,5000000,Small Blend,Guan Wang
American Century Short Duration Strategic Income Fund I Class,5000000,Short-Term Bond,Jeffrey Houston
American Century Short-Term Government Fund I Class,5000000,Short Government,Robert Gahagan
American Century Short Duration Fund I Class,5000000,Short-Term Bond,Jeffrey Houston
American Century Strategic Income Fund I Class,5000000,Multisector Bond,Jeffrey Houston
AQR Small Cap Momentum Style Fund Class I,5000000,Small Growth,Ronen N. Israel
American Century Heritage Fund I Class,5000000,Mid-Cap Growth,Nalin Yogasundram
American Century Investments One Choice In Retirement Portfolio I Class,5000000,Target-Date Retirement,Radu Gabudean
AQR Large Cap Defensive Style Fund Class I,5000000,Large Blend,Andrea Frazzini
Avantis International Equity Fund Institutional Class,5000000,Foreign Large Blend,Daniel C. Ong
Avantis International Small Cap Value Fund Institutional Class,5000000,Foreign Small/Mid Value,Daniel C. Ong
Avantis Emerging Markets Equity Fund Institutional Class,5000000,Diversified Emerging Mkts,Daniel C. Ong
Avantis Core Fixed Income Fund Institutional Class,5000000,Intermediate Core Bond,Daniel C. Ong
American Century Value Fund I Class,5000000,Large Value,Kevin N. Toney
Avantis Core Municipal Fixed Income Fund Institutional Class,5000000,Muni National Interm,Daniel C. Ong
Avantis Short-Term Fixed Income Fund Institutional Class,5000000,Short-Term Bond,Daniel C. Ong
American Century Mid Cap Value Fund I Class,5000000,Mid-Cap Value,Brian Woglom
Avantis U.S. Equity Fund Institutional Class,5000000,Large Blend,Daniel C. Ong
Avantis U.S. Small Cap Value Fund Institutional Class,5000000,Small Value,Daniel C. Ong
American Century Intermediate Term Tax-Free Bond Fund I Class,5000000,Muni National Interm,Steven Permut
Pioneer Balanced ESG Fund Class Y,5000000,Allocation--50% to 70% Equity,Lawrence Zeno
American Century High Yield Municipal Fund I Class,5000000,High Yield Muni,Alan M. Kruss
Baron Asset Fund Class R6,5000000,Mid-Cap Growth,Andrew Peck
BlackRock GNMA Portfolio Class K,5000000,Intermediate Government,Matthew Kraeger
BlackRock Short Obligations Fund Class K,5000000,Ultrashort Bond,Richard Mejzak
American Century California High Yield Municipal Fund I Class,5000000,Muni California Long,Alan M. Kruss
BlackRock CoreAlpha Bond Fund Class K,5000000,Intermediate Core Bond,Jeffrey Rosenberg
BlackRock Commodity Strategies Portfolio Class K,5000000,Commodities Broad Basket,Robert Shimell
American Century California Intermediate-Term Tax-Free Bond Fund I Class,5000000,Muni California Intermediate,Steven Permut
Baron Durable Advantage Fund R6 Shares,5000000,Large Growth,Alex Umansky
iShares Russell 2000 Small-Cap Index Fund Class K,5000000,Small Blend,Jennifer Hsui
Baron Discovery Fund R6 Shares,5000000,Small Growth,Laird Bieger
BlackRock Dynamic High Income Portfolio Class K,5000000,World Allocation,Alex Shingler
BlackRock Global Long/Short Credit Fund Class K,5000000,Nontraditional Bond,Joshua Tarnow
iShares MSCI Total International Index Fund Class K,5000000,Foreign Large Blend,Jennifer Hsui
BlackRock Advantage Small Cap Core Fund Class K,5000000,Small Blend,Travis Cooke
BlackRock Emerging Markets Bond Fund Class K Shares,5000000,Emerging Markets Bond,Sergio Trigo Paz
Baron Emerging Markets Fund Class R6,5000000,Diversified Emerging Mkts,Michael Kass
BlackRock Capital Appreciation Fund K Shares,5000000,Large Growth,Lawrence Kemp
Baron Focused Growth Fund R6 Shares,5000000,Mid-Cap Growth,Ronald Baron
Baron FinTech Fund R6 Shares,5000000,Technology,Josh Saltman
BlackRock Floating Rate Income Fund Class K,5000000,Bank Loan,James S. Keenan
Baron Fifth Avenue Growth Fund Class R6,5000000,Large Growth,Alex Umansky
BlackRock Global Long/Short Equity Fund Class K,5000000,Equity Market Neutral,Kevin Franklin
BlackRock GA Disciplined Volatility Equity Fund Class K,5000000,World Large-Stock Blend,Russ Koesterich
BlackRock GA Dynamic Equity Fund Class K,5000000,World Large-Stock Blend,Russ Koesterich
BlackRock Global Impact Fund Class K,5000000,,Eric M. Rice
Baron Global Advantage Fund R6 Shares,5000000,,Alex Umansky
Baron Growth Fund Class R6,5000000,Mid-Cap Growth,Ronald Baron
Baron Health Care Fund R6 Shares,5000000,Health,Neal Kaufman
BlackRock High Equity Income Fund Class K,5000000,Derivative Income,Kyle McClements
BlackRock Systematic ESG Bond Fund Class K,5000000,Intermediate Core Bond,Scott Radell
iShares Municipal Bond Index Fund Class K,5000000,Muni National Interm,Karen Uyehara
BlackRock U.S. Government Bond Portfolio Class K,5000000,Intermediate Government,Matthew Kraeger
Baron International Growth Fund R6 Shares,5000000,Foreign Large Growth,Michael Kass
BlackRock International Impact Fund Class K,5000000,Foreign Large Growth,Eric M. Rice
Baron Opportunity Fund R6 Shares,5000000,Large Growth,Michael Lippert
BlackRock Advantage ESG U.S. Equity Fund Class K,5000000,Large Blend,Travis Cooke
BlackRock 80/20 Target Allocation Fund Class K,5000000,Allocation--70% to 85% Equity,Lisa O'Connor
BlackRock Global Dividend Portfolio Class K,5000000,,Andrew Wheatley-Hubbard
BlackRock 20/80 Target Allocation Fund Class K,5000000,Allocation--15% to 30% Equity,Lisa O'Connor
BlackRock Defensive Advantage Emerging Markets Fund Class K,5000000,Diversified Emerging Mkts,Jeff Shen
BlackRock Defensive Advantage International Fund Class K,5000000,Foreign Large Blend,Robert Fisher
BlackRock Defensive Advantage U.S. Fund Class K,5000000,Large Blend,Travis Cooke
iShares Edge MSCI Min Vol EAFE Index Fund Class K,5000000,Foreign Large Blend,Jennifer M. Hsui
BlackRock 60/40 Target Allocation Fund Class K,5000000,Allocation--50% to 70% Equity,Lisa O'Connor
iShares Short-Term TIPS Bond Index Fund Class K,5000000,Inflation-Protected Bond,Karen Uyehara
BlackRock Systematic Multi-Strategy Fund Class K,5000000,Multistrategy,Jeffrey Rosenberg
BlackRock Multi-Asset Income Portfolio Class K,5000000,Allocation--30% to 50% Equity,Alex Shingler
BlackRock 40/60 Target Allocation Fund Class K,5000000,Allocation--30% to 50% Equity,Lisa O'Connor
iShares Edge MSCI Min Vol USA Index Fund Class K,5000000,Large Blend,Jennifer M. Hsui
iShares Developed Real Estate Index Fund Class K,5000000,Global Real Estate,Alan Mason
iShares Total U.S. Stock Market Index Fund Class K,5000000,Large Blend,Alan Mason
BlackRock Managed Income Fund Class K Shares,5000000,Allocation--15% to 30% Equity,Justin Christofel
Blackrock Advantage Emerging Markets Fund Class K,5000000,Diversified Emerging Mkts,David Piazza
BlackRock Advantage Large Cap Growth Fund Class K,5000000,Large Growth,Travis Cooke
BlackRock Mid-Cap Growth Equity Portfolio Class K,5000000,Mid-Cap Growth,Phil G. Ruvinsky
BlackRock Income Fund Class K Shares,5000000,Multisector Bond,Mitchell Garfin
BlackRock National Municipal Fund K Share,5000000,Muni National Interm,Walter O'Connor
BlackRock Inflation Protected Bond Fund Class K,5000000,Inflation-Protected Bond,Christopher Allen
Baron Partners Fund R6 Shares,5000000,Large Growth,Ronald Baron
BlackRock Emerging Markets Flexible Dynamic Bond Portfolio Class K,5000000,Nontraditional Bond,Michal Wozniak
BlackRock International Dividend Fund Class K,5000000,Foreign Large Blend,Andrew Wheatley-Hubbard
Baron Real Estate Fund Class R6,5000000,Real Estate,Jeffrey A. Kolitch
iShares Russell 1000 Large-Cap Index Fund Class K,5000000,Large Blend,Jennifer Hsui
BlackRock High Yield Bond Portfolio Class K,5000000,High Yield Bond,Mitchell Garfin
Baron Real Estate Income Fund R6 Shares,5000000,Real Estate,Jeffrey A. Kolitch
iShares Russell Mid-Cap Index Fund Class K,5000000,Mid-Cap Blend,Alan Mason
BlackRock Advantage International Fund K,5000000,Foreign Large Blend,Kevin Franklin
BlackRock Advantage ESG International Equity Fund Class K,5000000,Foreign Large Blend,Kevin Franklin
BlackRock Sustainable High Yield Bond Fund Class K,5000000,High Yield Bond,David S. Delbos
BlackRock Strategic Income Opportunities Portfolio Class K,5000000,Nontraditional Bond,Bob Miller
iShares Russell Small/Mid-Cap Index Fund Class K,5000000,Small Blend,Alan Mason
BlackRock Total Factor Fund Class K,5000000,Multistrategy,He Ren
BlackRock Technology Opportunities Fund Class K,5000000,Technology,Reid Menge
iShares MSCI EAFE International Index Fund Class K,5000000,Foreign Large Blend,Jennifer Hsui
BlackRock U.S. Impact Fund Class K,5000000,Mid-Cap Growth,Eric M. Rice
Boyd Watterson Limited Duration Enhanced Income Fund Class I2,5000000,Multisector Bond,Brian L. Convery
Cambiar SMID Fund Institutional Class,5000000,Mid-Cap Blend,Andrew P. Baumbusch
Cambiar Opportunity Fund Class Institutional,5000000,Large Value,Brian M. Barish
Cambiar International Equity Institutional,5000000,Foreign Large Blend,Brian Barish
Cambiar Small Cap Institutional Class,5000000,Small Blend,Andrew P. Baumbusch
BlackRock Core Bond Portfolio Class K,5000000,Intermediate Core Bond,Bob Miller
BlackRock China A Opportunities Fund Class K,5000000,China Region,Jeff Shen
BlackRock Low Duration Bond Portfolio Class K,5000000,Short-Term Bond,Akiva Dickstein
Morgan Stanley Insight Fund Class I,5000000,Large Growth,Dennis P. Lynch
Pioneer Disciplined Value Fund Class Y,5000000,Large Value,Ashesh Savla
Davis Appreciation & Income Fund Class Y,5000000,Allocation--70% to 85% Equity,Peter Cullom Sackmann
DDJ Opportunistic High Yield Fund Institutional Class,5000000,High Yield Bond,David J. Breazzano
Davis Global Fund Class Y,5000000,World Large-Stock Blend,Danton Goei
Davis Opportunity Fund Class Y,5000000,Large Blend,Christopher Davis
Davis Government Bond Fund Class Y,5000000,Short Government,Creston A. King
Davis International Fund Class Y,5000000,Foreign Large Blend,Danton Goei
Morgan Stanley Global Fixed Income Opportunities Fund Class I,5000000,Multisector Bond,James G. Caron
Davis New York Venture Fund Class Y,5000000,Large Blend,Christopher Cullom Davis
Davis Real Estate Fund Class Y,5000000,Real Estate,Chandler Adams Spears
Davis Financial Fund Class Y,5000000,Financial,Christopher Davis
Morgan Stanley Europe Opportunity Fund Inc. Class I,5000000,Europe Stock,Wendy Wang
BlackRock Sustainable International Equity Fund Class K Shares,5000000,Foreign Large Blend,Adam Avigdori
BlackRock Sustainable Total Return Fund Class K,5000000,Intermediate Core-Plus Bond,Rick Rieder
BlackRock Sustainable U.S. Growth Equity Fund Class K Shares,5000000,Large Growth,Lawrence G. Kemp
BlackRock Sustainable U.S. Value Equity Fund Class K Shares,5000000,Large Value,David Zhao
American Century Global Gold Fund C Class,5000000,Target-Date 2025,Guan Wang
American Century Growth Fund Y Class,5000000,Target-Date 2030,Scott J. Marolf
American Century Heritage Fund C Class,5000000,Target-Date 2035,Nalin Yogasundram
